Corr	In/Out	Num	Fecha	Hora
1506	7	0	20131223	1434
1507	7	0	20131223	1434
1508	7	0	20131223	1434
1516	7	0	20131223	1513
47	0	3	20131213	1233
75	1	3	20131213	1400
100	0	3	20131213	1627
238	1	3	20131216	711
270	0	3	20131216	1124
343	1	3	20131216	1427
375	0	3	20131216	1720
477	1	3	20131217	723
527	0	3	20131217	1207
615	0	3	20131217	1748
685	1	3	20131218	709
745	0	3	20131218	1157
813	1	3	20131218	1417
845	0	3	20131218	1717
967	0	3	20131219	947
973	1	3	20131219	1034
1065	0	3	20131219	1712
1167	1	3	20131220	717
1211	0	3	20131220	1202
1271	1	3	20131220	1412
1294	0	3	20131220	1636
1429	0	3	20131223	1000
1445	1	3	20131223	1121
1460	0	3	20131223	1209
1486	1	3	20131223	1401
1543	0	3	20131223	1727
1655	1	3	20131224	727
1765	1	3	20131226	711
1823	0	3	20131226	1206
1858	1	3	20131226	1411
1916	0	3	20131226	1754
2024	0	3	20131227	1212
2025	0	3	20131227	1212
2026	0	3	20131227	1212
2062	1	3	20131227	1410
2133	0	3	20131227	1737
2177	1	3	20131230	707
2251	0	3	20131230	1222
2271	1	3	20131230	1414
2344	0	3	20131230	1821
2402	1	3	20131231	828
2455	0	3	20131231	1218
2490	1	3	20140102	705
2561	0	3	20140102	1216
2592	1	3	20140102	1417
2639	0	3	20140102	1748
2640	0	3	20140102	1748
2690	1	3	20140103	716
2747	0	3	20140103	1211
2821	0	3	20140103	1647
2822	0	3	20140103	1647
2904	1	3	20140106	719
2946	0	3	20140106	1207
2999	1	3	20140106	1418
3068	0	3	20140106	1811
3156	0	3	20140107	1202
3189	1	3	20140107	1353
3263	0	3	20140107	1821
3289	1	3	20140108	701
3430	0	3	20140108	1909
3449	1	3	20140109	653
3508	0	3	20140109	1207
3540	1	3	20140109	1413
3599	0	3	20140109	1822
3685	0	3	20140110	1212
3754	0	3	20140110	1727
3763	1	3	20140111	920
3800	1	3	20140113	701
3874	0	3	20140113	1245
3881	1	3	20140113	1347
3962	0	3	20140113	1900
3993	1	3	20140114	706
4055	0	3	20140114	1234
4076	1	3	20140114	1410
4301	0	3	20140115	1827
4374	0	3	20140116	1209
4417	1	3	20140116	1424
4448	0	3	20140116	1923
4479	1	3	20140117	717
4548	0	3	20140117	1233
4615	0	3	20140117	1904
4624	1	3	20140118	1006
4628	0	3	20140118	1142
4666	1	3	20140120	716
4699	0	3	20140120	1200
4700	0	3	20140120	1200
4741	1	3	20140120	1428
4787	0	3	20140120	1750
4835	1	3	20140121	730
4899	0	3	20140121	1213
4928	1	3	20140121	1418
4977	0	3	20140121	1816
5017	1	3	20140122	711
5078	1	3	20140122	1424
5127	0	3	20140122	1808
5170	1	3	20140123	714
5236	1	3	20140123	1432
5289	0	3	20140123	1813
5324	1	3	20140124	718
5361	0	3	20140124	1237
5380	1	3	20140124	1424
5406	0	3	20140124	1639
5450	1	3	20140125	919
5451	0	3	20140125	1028
5471	1	3	20140127	727
5493	0	3	20140127	1212
5494	0	3	20140127	1212
5542	1	3	20140128	733
5558	0	3	20140128	1210
5575	1	3	20140128	1436
5605	1	3	20140129	713
5622	0	3	20140129	1220
5633	1	3	20140129	1430
5650	0	3	20140129	1813
5651	0	3	20140129	1813
5665	1	3	20140130	718
5675	0	3	20140130	1139
5700	1	3	20140130	1438
5711	0	3	20140130	1800
5728	1	3	20140131	725
5741	0	3	20140131	1143
5760	1	3	20140131	1427
6444	0	3	20140224	1204
6487	1	3	20140224	1429
6501	0	3	20140224	1731
6502	0	3	20140224	1731
6566	1	3	20140225	710
6598	0	3	20140225	1143
6665	1	3	20140225	1455
6705	0	3	20140225	1747
6766	0	3	20140226	1143
6825	1	3	20140226	1420
6860	0	3	20140226	1741
6861	0	3	20140226	1741
6862	0	3	20140226	1741
6926	1	3	20140227	754
7007	0	3	20140227	1546
7110	0	3	20140228	1209
7145	1	3	20140228	1509
7174	0	3	20140228	1700
7300	1	3	20140303	1422
7343	0	3	20140303	1755
7404	1	3	20140304	756
7450	0	3	20140304	1213
7488	1	3	20140304	1420
7547	0	3	20140304	1831
7589	1	3	20140305	726
7656	1	3	20140305	1410
7692	0	3	20140305	1730
7808	0	3	20140306	1155
7858	1	3	20140306	1408
7911	0	3	20140306	1756
7969	1	3	20140307	720
8010	0	3	20140307	1205
8011	0	3	20140307	1206
8061	1	3	20140307	1429
8083	0	3	20140307	1707
8206	0	3	20140310	1158
8259	1	3	20140310	1432
8320	0	3	20140310	1758
8376	1	3	20140311	716
8406	0	3	20140311	1142
8460	1	3	20140311	1413
