Corr	Int/Out	Num	Fecha	Hora
1506	7	0	20131223	1434
1507	7	0	20131223	1434
1508	7	0	20131223	1434
1516	7	0	20131223	1513
1842	7	95613	20131226	1331
1934	7	95613	20131226	2015
1942	7	95613	20131226	2110
1943	7	95613	20131226	2110
1997	7	95613	20131227	1014
2228	7	95613	20131230	1205
2229	7	95613	20131230	1205
2287	7	95613	20131230	1506
2288	7	95613	20131230	1506
8014	7	95613	20140307	1207
8050	7	95613	20140307	1408
8146	7	95613	20140310	654
8396	7	95613	20140311	943
8624	7	95613	20140312	1210
8693	7	95613	20140312	1741
8809	7	95613	20140313	1206
8884	7	95613	20140313	1728
9045	7	95613	20140314	1515
9046	7	95613	20140314	1515
9047	7	95613	20140314	1515
9783	7	95613	20140319	1742
9892	7	95613	20140320	700
9893	7	95613	20140320	700
10233	7	95613	20140321	1204
10749	7	95613	20140325	756
10872	7	95613	20140325	1748
10873	7	95613	20140325	1748
10874	7	95613	20140325	1748
10875	7	95613	20140325	1748
10876	7	95613	20140325	1748
10970	7	95613	20140326	658
10971	7	95613	20140326	658
10973	7	95613	20140326	658
11091	7	95613	20140326	1418
11093	7	95613	20140326	1418
